location,country
Beyla,GIN
Boffa,GIN
Boke,GIN
Conakry,GIN
Coyah,GIN
Dabola,GIN
Dalaba,GIN
Dinguiraye,GIN
Dubreka,GIN
Faranah,GIN
Forecariah,GIN
Fria,GIN
Gaoual,GIN
Gueckedou,GIN
Kankan,GIN
Kerouane,GIN
Kindia,GIN
Kissidougou,GIN
Koubia,GIN
Koundara,GIN
Kouroussa,GIN
Labe,GIN
Lelouma,GIN
Lola,GIN
Macenta,GIN
Mali,GIN
Mamou,GIN
Mandiana,GIN
Nzerekore,GIN
Pita,GIN
Siguiri,GIN
Telimele,GIN
Tougue,GIN
Yamou,GIN
Bomi,LBR
Bong,LBR
Gbarpolu,LBR
GrandBassa,LBR
GrandCapeMount,LBR
GrandGedeh,LBR
GrandKru,LBR
Lofa,LBR
Margibi,LBR
Maryland,LBR
Montserrado,LBR
Nimba,LBR
RiverCess,LBR
RiverGee,LBR
Sinoe,LBR
Bo,SLE
Bombali,SLE
Bonthe,SLE
Kailahun,SLE
Kambia,SLE
Kenema,SLE
Koinadugu,SLE
Kono,SLE
Moyamba,SLE
PortLoko,SLE
Pujehun,SLE
Tonkolili,SLE
WesternRural,SLE
WesternUrban,SLE
Kedougou,SEN
Salemata,SEN
Saraya,SEN
Velingara,SEN
Tambacounda,SEN
Kenieba,MLI
Kita,MLI
Kangaba,MLI
Kati,MLI
Yanfolila,MLI
Gabu,GNB
Tombali,GNB
SanPedro,CIV
Folon,CIV
Kabadougou,CIV
Cavally,CIV
Tonkpi,CIV
Bafing,CIV
